complaint_id,category,department,priority,district,urban,submission_date,day_of_week,officer_experience,workload_at_submission,complaint_length,resubmission,sla_threshold_days,resolution_days,sla_violated,escalated,status,risk_score
KL2022-00738,Social Security,Social Welfare,Medium,Palakkad,0,2024-05-11,5,12,10,764,0,10,8,0,0,Resolved,26
KL2022-00739,Social Security,Social Welfare,Low,Alappuzha,0,2024-09-14,5,13,49,653,0,15,18,1,1,Closed,39
KL2022-00740,Education,Education Department,High,Ernakulam,1,2022-10-02,6,9,66,288,1,5,6,1,1,Closed,60
KL2022-00741,Education,Education Department,Low,Kottayam,0,2024-04-16,1,9,29,55,0,15,15,0,0,Resolved,33
KL2022-00742,Housing,Housing Board,Medium,Malappuram,0,2024-12-06,4,4,71,57,0,10,18,1,1,Closed,70
KL2022-00743,Sanitation,Municipality,High,Wayanad,0,2023-10-09,0,14,51,159,0,5,2,0,0,Resolved,35
KL2022-00744,Healthcare,Health Department,Medium,Ernakulam,1,2023-06-04,6,9,73,483,1,10,11,1,1,Closed,54
KL2022-00745,Revenue,Revenue Department,Low,Kozhikode,1,2024-03-24,6,7,57,615,0,15,21,1,1,Closed,53
KL2022-00746,Water Supply,Kerala Water Authority,High,Pathanamthitta,1,2024-01-29,0,18,76,545,0,5,4,0,0,Resolved,39
KL2022-00747,Revenue,Revenue Department,High,Kottayam,0,2023-12-07,3,13,22,725,0,5,2,0,0,Resolved,36
KL2022-00748,Education,Education Department,Medium,Wayanad,1,2023-04-16,6,15,25,152,0,10,9,0,0,Resolved,24
KL2022-00749,Sanitation,Municipality,Low,Palakkad,0,2024-03-31,6,11,75,678,0,15,18,1,1,Closed,44
KL2022-00750,Housing,Housing Board,Low,Pathanamthitta,0,2024-03-07,3,1,16,198,0,15,27,1,1,Closed,53
KL2022-00751,Social Security,Social Welfare,Low,Kollam,0,2022-05-12,3,9,33,429,1,15,16,1,0,Resolved,48
KL2022-00752,Housing,Housing Board,Low,Wayanad,1,2024-02-27,1,13,71,343,0,15,23,1,1,Closed,58
KL2022-00753,Housing,Housing Board,Low,Kannur,0,2022-12-25,6,16,61,60,0,15,19,1,0,Resolved,51
KL2022-00754,Revenue,Revenue Department,Critical,Alappuzha,1,2022-03-10,3,20,70,578,0,2,1,0,0,Resolved,50
KL2022-00755,Sanitation,Municipality,Medium,Malappuram,1,2022-12-14,2,2,51,294,0,10,15,1,1,Closed,47
KL2022-00756,Healthcare,Health Department,Low,Kollam,0,2023-07-20,3,13,50,735,0,15,15,0,0,Resolved,31
KL2022-00757,Social Security,Social Welfare,High,Ernakulam,1,2023-02-15,2,17,6,770,0,5,3,0,0,Resolved,21
KL2022-00758,Education,Education Department,Low,Kollam,0,2023-08-06,6,18,79,406,0,15,13,0,0,Resolved,41
KL2022-00759,Public Works,PWD,Medium,Kasaragod,0,2023-07-21,4,8,29,515,0,10,15,1,1,Closed,52
KL2022-00760,Housing,Housing Board,Medium,Kottayam,0,2022-12-25,6,14,69,159,0,10,16,1,1,Closed,56
KL2022-00761,Revenue,Revenue Department,High,Idukki,1,2022-08-28,6,17,37,600,0,5,9,1,1,Closed,36
KL2022-00762,Revenue,Revenue Department,Medium,Wayanad,0,2024-06-25,1,13,77,545,0,10,16,1,1,Closed,53
KL2022-00763,Public Works,PWD,High,Kannur,1,2024-07-28,6,15,80,78,0,5,10,1,1,Closed,66
KL2022-00764,Revenue,Revenue Department,Medium,Kollam,1,2024-02-23,4,8,34,373,0,10,13,1,1,Closed,44
KL2022-00765,Public Works,PWD,Medium,Palakkad,1,2022-01-20,3,9,36,344,0,10,15,1,0,Resolved,54
KL2022-00766,Public Works,PWD,Low,Kollam,1,2023-01-01,6,16,45,412,0,15,22,1,0,Resolved,48
KL2022-00767,Revenue,Revenue Department,Critical,Pathanamthitta,0,2023-01-25,2,16,30,290,0,2,1,0,0,Resolved,40
KL2022-00768,Sanitation,Municipality,Medium,Kasaragod,0,2023-06-28,2,7,34,257,1,10,13,1,1,Closed,44
KL2022-00769,Public Works,PWD,Medium,Pathanamthitta,0,2022-08-07,6,4,15,742,0,10,15,1,1,Closed,52
KL2022-00770,Water Supply,Kerala Water Authority,Critical,Malappuram,0,2022-01-14,4,18,10,543,0,2,3,1,1,Closed,19
KL2022-00771,Public Works,PWD,Low,Thrissur,0,2023-07-17,0,16,28,573,0,15,16,1,0,Resolved,42
KL2022-00772,Sanitation,Municipality,Medium,Kannur,1,2022-09-20,1,2,72,483,0,10,13,1,1,Closed,55
KL2022-00773,Housing,Housing Board,High,Palakkad,0,2023-12-13,2,13,27,518,0,5,5,0,0,Resolved,45
KL2022-00774,Education,Education Department,Low,Wayanad,1,2024-11-27,2,15,45,755,1,15,19,1,0,Resolved,42
KL2022-00775,Sanitation,Municipality,Medium,Ernakulam,1,2022-07-26,1,11,51,677,0,10,12,1,1,Closed,35
KL2022-00776,Healthcare,Health Department,High,Palakkad,1,2023-06-23,4,8,39,532,1,5,7,1,1,Closed,46
KL2022-00777,Public Works,PWD,Low,Idukki,1,2023-01-12,3,16,59,265,0,15,20,1,1,Closed,54
KL2022-00778,Public Works,PWD,Low,Idukki,1,2024-03-31,6,9,62,234,1,15,31,1,1,Closed,74
KL2022-00779,Sanitation,Municipality,Critical,Kasaragod,1,2022-07-24,6,9,35,618,0,2,4,1,1,Closed,40
KL2022-00780,Social Security,Social Welfare,Medium,Alappuzha,0,2022-10-26,2,5,65,59,0,10,16,1,0,Resolved,55
KL2022-00781,Water Supply,Kerala Water Authority,Medium,Pathanamthitta,0,2024-11-24,6,18,45,548,0,10,6,0,0,Resolved,24
KL2022-00782,Revenue,Revenue Department,Low,Kottayam,0,2022-04-08,4,13,17,757,0,15,12,0,0,Resolved,31
KL2022-00783,Healthcare,Health Department,Critical,Thiruvananthapuram,0,2023-03-18,5,9,65,694,0,2,3,1,0,Resolved,49
KL2022-00784,Public Works,PWD,Medium,Kottayam,1,2024-01-10,2,12,76,620,1,10,19,1,1,Closed,75
KL2022-00785,Revenue,Revenue Department,High,Idukki,1,2022-02-10,3,14,20,409,0,5,4,0,0,Resolved,34
KL2022-00786,Sanitation,Municipality,Medium,Malappuram,0,2022-12-24,5,10,50,382,0,10,11,1,1,Closed,36
KL2022-00787,Water Supply,Kerala Water Authority,Low,Kannur,0,2024-07-04,3,3,53,678,0,15,16,1,0,Resolved,46
KL2022-00788,Healthcare,Health Department,Medium,Kasaragod,1,2022-12-10,5,11,58,696,1,10,13,1,1,Closed,46
KL2022-00789,Social Security,Social Welfare,High,Kasaragod,0,2022-05-27,4,3,25,401,0,5,4,0,0,Resolved,46
KL2022-00790,Sanitation,Municipality,Medium,Idukki,0,2023-10-11,2,10,39,669,0,10,12,1,1,Closed,32
KL2022-00791,Revenue,Revenue Department,Low,Thrissur,0,2024-01-14,6,19,71,511,1,15,17,1,1,Closed,54
KL2022-00792,Healthcare,Health Department,Medium,Kasaragod,1,2022-02-17,3,5,35,727,0,10,10,0,0,Resolved,35
KL2022-00793,Revenue,Revenue Department,High,Wayanad,1,2022-06-13,0,7,26,456,0,5,5,0,0,Resolved,45
KL2022-00794,Education,Education Department,Medium,Kollam,0,2022-05-11,2,16,75,105,0,10,11,1,0,Resolved,42
KL2022-00795,Social Security,Social Welfare,Critical,Palakkad,1,2022-06-20,0,4,38,682,0,2,3,1,0,Resolved,54
KL2022-00796,Social Security,Social Welfare,Critical,Kottayam,0,2023-04-15,5,8,41,503,0,2,4,1,1,Closed,51
KL2022-00797,Healthcare,Health Department,Medium,Palakkad,0,2022-12-16,4,1,9,729,0,10,11,1,1,Closed,30
KL2022-00798,Public Works,PWD,Medium,Kasaragod,1,2024-09-02,0,15,74,328,0,10,15,1,1,Closed,61
KL2022-00799,Healthcare,Health Department,Low,Wayanad,1,2022-12-29,3,19,63,696,0,15,13,0,0,Resolved,28
KL2022-00800,Social Security,Social Welfare,Low,Palakkad,1,2024-12-29,6,10,49,543,1,15,22,1,1,Escalated,53
KL2022-00801,Education,Education Department,Medium,Thrissur,1,2023-09-23,5,12,57,316,0,10,15,1,0,Resolved,40
KL2022-00802,Housing,Housing Board,Critical,Thiruvananthapuram,0,2024-12-07,5,5,49,343,0,2,8,1,1,Closed,68
KL2022-00803,Housing,Housing Board,High,Wayanad,0,2024-10-04,4,16,43,59,0,5,7,1,1,Closed,47
KL2022-00804,Revenue,Revenue Department,Critical,Malappuram,1,2023-04-19,2,1,75,432,0,2,4,1,0,Resolved,76
KL2022-00805,Social Security,Social Welfare,Low,Ernakulam,1,2023-05-27,5,6,54,437,1,15,26,1,0,Resolved,60
KL2022-00806,Education,Education Department,High,Ernakulam,0,2023-05-06,5,17,39,341,0,5,6,1,1,Closed,30
KL2022-00807,Revenue,Revenue Department,Medium,Ernakulam,1,2023-01-21,5,3,28,189,0,10,16,1,0,Resolved,48
KL2022-00808,Water Supply,Kerala Water Authority,Low,Malappuram,1,2024-07-16,1,9,67,242,0,15,17,1,0,Resolved,44
KL2022-00809,Healthcare,Health Department,Medium,Thiruvananthapuram,0,2024-12-31,1,1,28,154,0,10,11,1,0,In Progress,38
KL2022-00810,Healthcare,Health Department,Medium,Wayanad,1,2024-06-16,6,1,34,142,0,10,10,0,0,Resolved,40
KL2022-00811,Healthcare,Health Department,Medium,Thiruvananthapuram,1,2024-10-07,0,7,48,480,0,10,11,1,0,Resolved,38
KL2022-00812,Water Supply,Kerala Water Authority,Medium,Idukki,1,2024-08-07,2,2,47,132,1,10,16,1,1,Closed,55
KL2022-00813,Healthcare,Health Department,Critical,Thiruvananthapuram,1,2023-06-30,4,13,14,606,0,2,1,0,0,Resolved,25
KL2022-00814,Water Supply,Kerala Water Authority,Medium,Pathanamthitta,1,2023-01-29,6,9,53,62,0,10,11,1,0,Resolved,39
KL2022-00815,Sanitation,Municipality,Medium,Ernakulam,0,2024-06-26,2,8,9,253,0,10,6,0,0,Resolved,23
KL2022-00816,Water Supply,Kerala Water Authority,Medium,Wayanad,1,2022-07-12,1,17,31,534,1,10,7,0,0,Resolved,30
KL2022-00817,Social Security,Social Welfare,Medium,Kozhikode,1,2023-10-02,0,11,25,694,0,10,9,0,0,Resolved,33
KL2022-00818,Housing,Housing Board,High,Wayanad,1,2024-12-02,0,4,37,542,0,5,9,1,1,Closed,60
KL2022-00819,Sanitation,Municipality,Critical,Idukki,1,2022-04-17,6,7,19,291,0,2,3,1,1,Closed,36
KL2022-00820,Public Works,PWD,Medium,Thiruvananthapuram,0,2022-12-09,4,9,79,172,1,10,22,1,1,Closed,80
KL2022-00821,Sanitation,Municipality,Medium,Thiruvananthapuram,1,2022-03-28,0,19,65,754,0,10,8,0,0,Resolved,31
KL2022-00822,Healthcare,Health Department,Critical,Idukki,0,2022-07-03,6,8,25,561,0,2,3,1,0,Resolved,36
KL2022-00823,Public Works,PWD,Low,Kannur,0,2022-05-03,1,2,50,710,0,15,28,1,0,Resolved,68
KL2022-00824,Education,Education Department,Low,Pathanamthitta,0,2024-09-26,3,8,45,621,0,15,16,1,1,Closed,41
KL2022-00825,Public Works,PWD,Critical,Kannur,1,2024-06-17,0,7,7,755,0,2,1,0,0,Resolved,53
KL2022-00826,Social Security,Social Welfare,High,Idukki,0,2022-10-03,0,9,10,546,0,5,3,0,0,Resolved,33
KL2022-00827,Water Supply,Kerala Water Authority,Low,Palakkad,0,2023-08-27,6,18,67,244,0,15,16,1,1,Closed,33
KL2022-00828,Public Works,PWD,Low,Idukki,1,2024-08-17,5,9,75,214,0,15,29,1,0,Resolved,68
KL2022-00829,Healthcare,Health Department,Low,Thrissur,1,2023-08-29,1,9,74,425,0,15,13,0,0,Resolved,45
KL2022-00830,Water Supply,Kerala Water Authority,Medium,Thiruvananthapuram,0,2024-11-02,5,13,28,69,1,10,9,0,0,Resolved,34
KL2022-00831,Public Works,PWD,Medium,Kannur,0,2023-05-05,4,11,13,724,0,10,9,0,0,Resolved,43
KL2022-00832,Social Security,Social Welfare,Medium,Alappuzha,1,2024-12-09,0,16,75,207,0,10,13,1,1,Closed,45
KL2022-00833,Public Works,PWD,Medium,Ernakulam,0,2023-10-22,6,4,17,585,1,10,15,1,1,Closed,63
KL2022-00834,Housing,Housing Board,High,Kasaragod,1,2022-09-23,4,6,9,256,0,5,1,0,0,Resolved,47
KL2022-00835,Education,Education Department,High,Thrissur,0,2023-01-28,5,4,9,634,1,5,9,1,1,Closed,45
KL2022-00836,Social Security,Social Welfare,Critical,Kozhikode,0,2024-09-30,0,17,80,312,1,2,4,1,0,Resolved,64
KL2022-00837,Sanitation,Municipality,Low,Malappuram,1,2022-05-26,3,1,31,721,0,15,10,0,0,Resolved,40
KL2022-00838,Water Supply,Kerala Water Authority,High,Kasaragod,1,2022-06-13,0,15,12,419,0,5,1,0,0,Resolved,19
KL2022-00839,Social Security,Social Welfare,Medium,Kasaragod,1,2024-01-26,4,2,39,591,0,10,13,1,0,Resolved,49
KL2022-00840,Education,Education Department,Low,Kasaragod,0,2023-09-15,4,3,32,581,1,15,20,1,0,Resolved,52
KL2022-00841,Sanitation,Municipality,Medium,Palakkad,1,2024-02-29,3,7,29,588,0,10,7,0,0,Resolved,32
KL2022-00842,Sanitation,Municipality,Medium,Malappuram,1,2023-01-02,0,18,76,475,0,10,10,0,0,Resolved,36
KL2022-00843,Education,Education Department,Low,Kannur,0,2024-01-04,3,15,59,156,0,15,13,0,0,Resolved,37
KL2022-00844,Healthcare,Health Department,Low,Kannur,0,2023-01-05,3,18,56,566,1,15,11,0,0,Resolved,37
KL2022-00845,Public Works,PWD,Critical,Kozhikode,1,2022-11-20,6,18,61,410,1,2,4,1,1,Closed,70
KL2022-00846,Public Works,PWD,High,Kasaragod,0,2024-02-01,3,14,60,793,0,5,5,0,0,Resolved,60
KL2022-00847,Public Works,PWD,Medium,Malappuram,1,2023-05-08,0,19,74,269,1,10,16,1,1,Closed,66
KL2022-00848,Revenue,Revenue Department,Low,Idukki,1,2024-07-15,0,15,55,50,0,15,15,0,0,Resolved,43
KL2022-00849,Housing,Housing Board,Low,Kottayam,0,2022-02-03,3,17,22,359,0,15,15,0,0,Resolved,35
KL2022-00850,Housing,Housing Board,Medium,Kottayam,0,2023-03-31,4,7,45,72,0,10,17,1,1,Closed,56
KL2022-00851,Revenue,Revenue Department,Medium,Palakkad,0,2024-11-13,2,18,78,635,0,10,13,1,0,Resolved,48
KL2022-00852,Housing,Housing Board,Low,Thrissur,0,2023-12-30,5,5,22,321,0,15,23,1,1,Closed,50
KL2022-00853,Sanitation,Municipality,Low,Alappuzha,1,2023-06-09,4,10,16,634,1,15,16,1,1,Closed,34
KL2022-00854,Sanitation,Municipality,Low,Wayanad,0,2022-06-08,2,11,66,227,0,15,15,0,0,Resolved,41
KL2022-00855,Water Supply,Kerala Water Authority,Medium,Kasaragod,1,2022-07-15,4,20,43,88,1,10,10,0,0,Resolved,31
KL2022-00856,Social Security,Social Welfare,Low,Kollam,0,2022-04-25,0,11,49,494,0,15,17,1,1,Closed,42
KL2022-00857,Education,Education Department,Medium,Kasaragod,1,2023-04-10,0,20,6,699,0,10,5,0,0,Resolved,11
KL2022-00858,Social Security,Social Welfare,Medium,Thiruvananthapuram,0,2023-09-17,6,17,10,376,0,10,9,0,0,Resolved,20
KL2022-00859,Healthcare,Health Department,Medium,Idukki,1,2024-10-25,4,8,24,101,0,10,5,0,0,Resolved,27
KL2022-00860,Social Security,Social Welfare,Low,Thrissur,0,2024-10-30,2,3,33,492,0,15,19,1,0,Resolved,46
KL2022-00861,Social Security,Social Welfare,Medium,Pathanamthitta,0,2022-09-28,2,11,15,537,0,10,11,1,1,Closed,29
KL2022-00862,Housing,Housing Board,Medium,Palakkad,0,2024-03-28,3,9,15,458,0,10,11,1,1,Closed,42
KL2022-00863,Healthcare,Health Department,High,Kannur,1,2022-10-04,1,16,76,252,0,5,5,0,0,Resolved,40
KL2022-00864,Water Supply,Kerala Water Authority,Medium,Ernakulam,0,2023-02-06,0,18,72,302,0,10,8,0,0,Resolved,35
KL2022-00865,Sanitation,Municipality,High,Kollam,1,2023-06-30,4,14,46,751,0,5,2,0,0,Resolved,33
KL2022-00866,Education,Education Department,Low,Kollam,1,2024-04-27,5,14,51,406,1,15,14,0,0,Resolved,45
KL2022-00867,Sanitation,Municipality,Critical,Idukki,1,2023-12-07,3,20,8,362,0,2,1,0,0,Resolved,16
KL2022-00868,Healthcare,Health Department,High,Idukki,1,2024-06-24,0,20,23,501,1,5,6,1,0,Resolved,25
KL2022-00869,Sanitation,Municipality,High,Alappuzha,0,2024-02-05,0,5,15,165,0,5,6,1,1,Closed,32
KL2022-00870,Sanitation,Municipality,Medium,Malappuram,0,2022-10-30,6,10,6,401,1,10,11,1,1,Closed,30
KL2022-00871,Education,Education Department,Medium,Kottayam,0,2024-07-10,2,16,7,389,0,10,4,0,0,Resolved,16
KL2022-00872,Sanitation,Municipality,High,Wayanad,0,2023-03-10,4,7,74,585,1,5,5,0,0,Resolved,62
KL2022-00873,Revenue,Revenue Department,Medium,Palakkad,0,2024-09-16,0,20,23,761,1,10,6,0,0,Resolved,34
KL2022-00874,Housing,Housing Board,Critical,Ernakulam,1,2024-12-14,5,2,37,224,0,2,5,1,0,Resolved,67
KL2022-00875,Sanitation,Municipality,Low,Kannur,1,2023-07-10,0,2,64,720,0,15,22,1,1,Closed,52
KL2022-00876,Education,Education Department,Medium,Ernakulam,1,2023-07-10,0,12,18,69,1,10,11,1,0,Resolved,35
KL2022-00877,Social Security,Social Welfare,High,Alappuzha,0,2024-02-19,0,17,17,373,0,5,4,0,0,Resolved,25
KL2022-00878,Water Supply,Kerala Water Authority,Medium,Kasaragod,1,2024-12-24,1,3,28,253,0,10,8,0,0,Resolved,37
KL2022-00879,Water Supply,Kerala Water Authority,High,Palakkad,0,2022-02-14,0,2,36,592,1,5,5,0,0,Resolved,54
KL2022-00880,Revenue,Revenue Department,Low,Idukki,0,2024-09-30,0,13,25,68,0,15,17,1,0,Resolved,34
KL2022-00881,Public Works,PWD,Medium,Idukki,0,2023-09-12,1,8,69,332,1,10,22,1,1,Closed,77
KL2022-00882,Revenue,Revenue Department,Low,Ernakulam,0,2022-03-02,2,18,40,280,0,15,17,1,0,Resolved,33
KL2022-00883,Social Security,Social Welfare,Medium,Kozhikode,0,2022-10-09,6,3,53,583,0,10,16,1,1,Closed,53
KL2022-00884,Sanitation,Municipality,Critical,Ernakulam,1,2023-05-08,0,19,24,486,0,2,1,0,0,Resolved,23
KL2022-00885,Revenue,Revenue Department,Medium,Malappuram,1,2023-11-06,0,15,74,184,1,10,18,1,0,Resolved,60
KL2022-00886,Healthcare,Health Department,High,Malappuram,0,2023-02-19,6,5,44,755,0,5,7,1,1,Closed,42
KL2022-00887,Healthcare,Health Department,Low,Ernakulam,1,2022-10-25,1,19,25,375,1,15,10,0,0,Resolved,24
KL2022-00888,Education,Education Department,Medium,Palakkad,1,2024-12-27,4,4,28,375,0,10,9,0,0,In Progress,39
KL2022-00889,Healthcare,Health Department,Low,Wayanad,1,2022-03-02,2,11,57,471,0,15,15,0,0,Resolved,36
KL2022-00890,Revenue,Revenue Department,Low,Thrissur,1,2023-07-15,5,5,29,159,0,15,25,1,0,Resolved,45
KL2022-00891,Housing,Housing Board,Low,Kannur,1,2023-07-01,5,20,77,677,1,15,20,1,0,Resolved,62
KL2022-00892,Sanitation,Municipality,Medium,Alappuzha,0,2022-02-23,2,12,15,754,0,10,8,0,0,Resolved,21
KL2022-00893,Water Supply,Kerala Water Authority,Medium,Pathanamthitta,0,2024-10-25,4,20,65,779,0,10,4,0,0,Resolved,29
KL2022-00894,Public Works,PWD,Medium,Pathanamthitta,1,2024-03-04,0,16,65,190,0,10,16,1,0,Resolved,56
KL2022-00895,Sanitation,Municipality,High,Thiruvananthapuram,0,2024-04-16,1,1,39,472,0,5,8,1,0,Resolved,46
KL2022-00896,Sanitation,Municipality,Medium,Kannur,0,2023-02-23,3,3,27,499,0,10,9,0,0,Resolved,36
KL2022-00897,Water Supply,Kerala Water Authority,Medium,Wayanad,1,2023-10-28,5,15,36,487,0,10,7,0,0,Resolved,25
KL2022-00898,Social Security,Social Welfare,High,Kannur,0,2022-03-27,6,20,53,787,1,5,4,0,0,Resolved,45
KL2022-00899,Public Works,PWD,Medium,Ernakulam,1,2024-12-11,2,2,71,161,0,10,25,1,1,Escalated,76
KL2022-00900,Housing,Housing Board,Low,Alappuzha,0,2024-11-28,3,18,55,90,0,15,21,1,1,Closed,46
KL2022-00901,Housing,Housing Board,Low,Alappuzha,1,2023-08-20,6,15,55,361,0,15,24,1,1,Closed,50
KL2022-00902,Revenue,Revenue Department,Low,Thrissur,0,2022-12-07,2,14,42,677,0,15,17,1,1,Closed,39
KL2022-00903,Healthcare,Health Department,Medium,Thrissur,1,2024-07-14,6,3,69,165,1,10,15,1,0,Resolved,60
KL2022-00904,Healthcare,Health Department,Medium,Ernakulam,1,2024-04-26,4,11,62,75,0,10,8,0,0,Resolved,38
KL2022-00905,Healthcare,Health Department,High,Thrissur,0,2023-02-18,5,15,16,306,0,5,3,0,0,Resolved,19
KL2022-00906,Public Works,PWD,Medium,Wayanad,1,2022-12-02,4,4,16,166,0,10,15,1,1,Closed,53
KL2022-00907,Public Works,PWD,Medium,Kollam,0,2024-12-08,6,13,70,676,0,10,17,1,1,Closed,62
KL2022-00908,Social Security,Social Welfare,High,Palakkad,0,2024-02-19,0,2,26,393,0,5,5,0,0,Resolved,47
KL2022-00909,Healthcare,Health Department,Low,Pathanamthitta,1,2022-10-24,0,6,11,479,1,15,13,0,0,Resolved,35
KL2022-00910,Revenue,Revenue Department,High,Kottayam,0,2024-07-02,1,10,28,170,1,5,4,0,0,Resolved,52
KL2022-00911,Healthcare,Health Department,High,Alappuzha,1,2022-01-08,5,20,37,62,1,5,8,1,1,Closed,30
KL2022-00912,Water Supply,Kerala Water Authority,Medium,Palakkad,1,2022-01-12,2,20,68,293,0,10,10,0,0,Resolved,31
KL2022-00913,Sanitation,Municipality,Medium,Malappuram,1,2024-09-01,6,15,57,502,0,10,9,0,0,Resolved,33
KL2022-00914,Education,Education Department,High,Malappuram,1,2022-01-14,4,8,75,334,0,5,7,1,1,Closed,55
KL2022-00915,Sanitation,Municipality,Medium,Thiruvananthapuram,1,2023-01-14,5,5,12,718,0,10,11,1,0,Resolved,28
KL2022-00916,Healthcare,Health Department,Medium,Kasaragod,0,2022-03-08,1,19,43,389,0,10,5,0,0,Resolved,21
KL2022-00917,Education,Education Department,Medium,Thiruvananthapuram,0,2022-08-12,4,14,27,215,0,10,11,1,1,Closed,26
KL2022-00918,Healthcare,Health Department,Medium,Thrissur,1,2024-01-08,0,2,16,356,0,10,7,0,0,Resolved,32
KL2022-00919,Public Works,PWD,Critical,Idukki,1,2024-02-16,4,3,59,613,0,2,4,1,0,Resolved,78
KL2022-00920,Water Supply,Kerala Water Authority,Medium,Pathanamthitta,0,2022-09-07,2,9,47,589,0,10,9,0,0,Resolved,36
KL2022-00921,Social Security,Social Welfare,Critical,Palakkad,1,2023-03-06,0,7,12,161,0,2,1,0,0,Resolved,41
KL2022-00922,Education,Education Department,Medium,Thrissur,0,2023-08-12,5,14,45,315,0,10,8,0,0,Resolved,33
KL2022-00923,Public Works,PWD,Low,Pathanamthitta,1,2024-10-13,6,17,68,554,0,15,21,1,1,Closed,56
KL2022-00924,Sanitation,Municipality,Low,Wayanad,1,2023-08-18,4,7,5,171,0,15,11,0,0,Resolved,23
KL2022-00925,Housing,Housing Board,Low,Thrissur,0,2022-08-30,1,7,58,473,0,15,26,1,0,Resolved,61
KL2022-00926,Public Works,PWD,High,Palakkad,0,2023-03-11,5,1,30,756,1,5,10,1,0,Resolved,75
KL2022-00927,Education,Education Department,Low,Kottayam,1,2023-09-07,3,17,75,381,0,15,14,0,0,Resolved,41
KL2022-00928,Housing,Housing Board,Medium,Kollam,1,2023-11-14,1,11,55,791,0,10,15,1,1,Closed,55
KL2022-00929,Housing,Housing Board,Medium,Kasaragod,1,2022-12-26,0,7,47,396,0,10,17,1,1,Closed,57
KL2022-00930,Water Supply,Kerala Water Authority,Medium,Thrissur,1,2022-03-14,0,5,66,209,0,10,12,1,1,Closed,49
KL2022-00931,Public Works,PWD,Low,Thrissur,0,2024-04-27,5,2,71,356,1,15,37,1,1,Closed,86
KL2022-00932,Public Works,PWD,Medium,Palakkad,1,2022-02-08,1,7,78,751,1,10,23,1,0,Resolved,82
KL2022-00933,Public Works,PWD,Low,Kollam,1,2022-11-02,2,9,8,397,0,15,14,0,0,Resolved,43
KL2022-00934,Social Security,Social Welfare,High,Kozhikode,0,2024-12-30,0,6,78,670,0,5,7,1,1,Escalated,62
KL2022-00935,Education,Education Department,High,Kasaragod,1,2023-09-24,6,11,9,328,0,5,1,0,0,Resolved,26
KL2022-00936,Social Security,Social Welfare,Medium,Kollam,0,2024-10-14,0,8,52,512,0,10,12,1,1,Closed,47
KL2022-00937,Revenue,Revenue Department,Medium,Alappuzha,1,2024-12-11,2,10,27,164,1,10,12,1,1,Closed,48
KL2022-00938,Housing,Housing Board,Low,Kannur,0,2023-02-18,5,3,61,568,0,15,31,1,0,Resolved,67
KL2022-00939,Water Supply,Kerala Water Authority,Medium,Palakkad,0,2022-11-12,5,7,48,545,0,10,15,1,1,Closed,39
KL2022-00940,Revenue,Revenue Department,Low,Kannur,0,2023-11-02,3,5,17,578,0,15,16,1,1,Closed,41
KL2022-00941,Healthcare,Health Department,High,Alappuzha,0,2022-03-16,2,15,54,780,1,5,4,0,0,Resolved,43
KL2022-00942,Education,Education Department,Low,Thiruvananthapuram,1,2023-09-29,4,2,16,391,0,15,13,0,0,Resolved,37
KL2022-00943,Water Supply,Kerala Water Authority,Medium,Thiruvananthapuram,0,2022-07-31,6,17,44,73,1,10,10,0,0,Resolved,35
KL2022-00944,Revenue,Revenue Department,Medium,Kozhikode,0,2023-03-06,0,11,30,247,0,10,9,0,0,Resolved,38
KL2022-00945,Revenue,Revenue Department,Low,Kottayam,0,2024-12-26,3,11,61,737,1,15,23,1,0,In Progress,60
KL2022-00946,Healthcare,Health Department,Medium,Pathanamthitta,0,2023-07-15,5,4,6,687,1,10,12,1,1,Closed,36
KL2022-00947,Education,Education Department,Medium,Alappuzha,0,2023-12-19,1,18,45,327,0,10,4,0,0,Resolved,28
KL2022-00948,Healthcare,Health Department,Medium,Wayanad,0,2023-08-04,4,19,36,225,1,10,6,0,0,Resolved,28
KL2022-00949,Education,Education Department,Critical,Kottayam,1,2023-11-25,5,18,61,101,0,2,5,1,0,Resolved,42
KL2022-00950,Water Supply,Kerala Water Authority,Low,Kozhikode,0,2022-04-14,3,4,54,105,1,15,20,1,0,Resolved,55
KL2022-00951,Social Security,Social Welfare,High,Pathanamthitta,0,2024-07-02,1,20,50,369,1,5,6,1,0,Resolved,44
KL2022-00952,Sanitation,Municipality,Low,Wayanad,0,2024-12-28,5,3,64,631,1,15,21,1,0,In Progress,60
KL2022-00953,Water Supply,Kerala Water Authority,Low,Kollam,1,2024-07-22,0,10,64,531,1,15,17,1,0,Resolved,52
KL2022-00954,Sanitation,Municipality,Medium,Pathanamthitta,1,2023-06-13,1,12,55,237,0,10,11,1,1,Closed,36
KL2022-00955,Public Works,PWD,Medium,Kannur,0,2023-10-28,5,15,67,80,0,10,18,1,0,Resolved,58
KL2022-00956,Education,Education Department,Low,Idukki,0,2024-09-07,5,15,26,339,0,15,11,0,0,Resolved,25
KL2022-00957,Public Works,PWD,Medium,Malappuram,0,2022-09-18,6,17,18,465,0,10,13,1,1,Closed,37
KL2022-00958,Education,Education Department,Low,Idukki,0,2022-05-26,3,10,73,522,0,15,20,1,1,Closed,49
KL2022-00959,Social Security,Social Welfare,Medium,Alappuzha,0,2023-05-15,0,18,25,543,1,10,8,0,0,Resolved,34
